name,band,youtubeURL
Haru ka Tooku,Saya,https://www.youtube.com/watch?v=qC5Y2rdipS0
Rightfully,Goblin Slayer,https://www.youtube.com/watch?v=7z4WJAEG3u8
Brave Shine,Aimer,https://www.youtube.com/watch?v=XeI8E20ZUE4
kawaki wo ameku,Minami,https://www.youtube.com/watch?v=0YF8vecQWYs
The Girls Are Alright!�,Saya,https://www.youtube.com/watch?v=KjujhbdPoCU
Red Swan,Lizz Robinett,https://www.youtube.com/watch?v=SXlmFXIP5P0
Requiem der Morgenr�te,Lizz Robinett,https://www.youtube.com/watch?v=Pvb-5mHVoTo
Escape,XX:me,https://www.youtube.com/watch?v=jmEvzoFO14E
Torikago,XX:me,https://www.youtube.com/watch?v=TNVQky-zkw8
Hitori,XX:me,https://www.youtube.com/watch?v=ltXFpzHxcoY
Komm S�sser Tod,Arianne,https://www.youtube.com/watch?v=lGcnHvkLRb0
KISS OF DEATH,Mika Nakashima,https://www.youtube.com/watch?v=mzJqxT1UGho
The Bygone Days,Joe Hisaishi,https://www.youtube.com/watch?v=y1hzHolsgCM
Laputa The Castle in The Sky,Joe Hisaishi,https://www.youtube.com/watch?v=Hstbdf-vOo4
Introduction and Rondo Capriccioso,Saint Sa�ns,https://www.youtube.com/watch?v=hCsB3WtlyaM
Liebesleid (Love's Sorrow),Rachmaninoff,https://www.youtube.com/watch?v=_sbAtt4w6ZU
Watashi no Uso,Ghibli Orchestra,https://www.youtube.com/watch?v=UnNPdK7RWm4
River Flows in You,Yiruma,https://www.youtube.com/watch?v=7maJOI3QMu0
Ship to Shore,Robin Spielberg,https://www.youtube.com/watch?v=ziiie8X8-6E
Gymnop�die No.1,Erik Satie,https://www.youtube.com/watch?v=S-Xm7s9eGxU
Merry go round of Life,Grissini Project,https://www.youtube.com/watch?v=J6qIzKxmW8Y
Across the Violet Sky,Evan Call,https://www.youtube.com/watch?v=b-elgADLjmU
Kataware Doki,Kimi no na wa OST,https://www.youtube.com/watch?v=l4O9lB0A9ns
Sparkle,Kimi no na wa OST,https://www.youtube.com/watch?v=DjMkfARvGE8
Zen Zen Zense,Kimi no na wa OST,https://www.youtube.com/watch?v=3KpFbty0t_8
Tabi no Tochuu-Spice and Wolf OP,Natsumi Kiyoura,https://www.youtube.com/watch?v=_HyCUr95LEU